英文描述,中文描述,
"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions.",平躺，膝盖弯曲，双脚平放在地上。双手放在头后，肘部朝外。用力腹部，缓慢抬起上半身离地，向前蜷曲直到躯干呈45度角。在顶端稍作停顿，然后慢慢将上半身放回起始位置。重复到所需的重复次数。,
"Start on all fours with your hands directly under your shoulders and your knees directly under your hips. Extend one leg straight back, keeping your knee bent and your foot flexed. Slowly lower your hips towards the ground, feeling a stretch in your quads. Hold this position for 20-30 seconds. Switch legs and repeat the stretch on the other side.",开始四肢着地，双手直接放在肩膀下方，膝盖正好放在臀部下方。一条腿伸直向后，膝盖弯曲，脚弯曲。慢慢将臀部向下放向地面，感受股四头肌的拉伸。保持这个姿势20-30秒。换腿，在另一侧重复拉伸。,
"Stand up straight with your feet shoulder-width apart and hold a barbell with an overhand grip. Rest the barbell on the back of your hands with your palms facing down and your fingers pointing towards your body. Keeping your upper arms stationary, exhale and curl your wrists upwards as far as possible. Hold the contracted position for a brief pause, then inhale and slowly lower the barbell back to the starting position. Repeat for the desired number of repetitions.",站直，双脚与肩同宽，用过手握法握杠铃。将杠铃放在手背上，手掌朝下，手指指向身体。保持上臂静止，呼气并尽量将手腕向上弯曲。保持收缩姿势短暂停顿，然后吸气，慢慢将杠铃放回起始位置。重复至所需次数。,
"Attach a rope to the cable machine at the highest setting. Stand facing the machine with your feet shoulder-width apart. Grasp the rope with both hands, palms facing down. Extend your arms fully in front of you, keeping your elbows slightly bent. Engage your lats and slowly pull the rope down towards your thighs, keeping your arms straight. Pause for a moment at the bottom, then slowly release the tension and return to the starting position. Repeat for the desired number of repetitions.",将绳索连接到拉索机，设置最高。站在机器前，双脚与肩同宽。双手握住绳索，掌心朝下。双臂完全伸直，肘部微微弯曲。收紧背阔肌，缓慢将绳索向下拉向大腿方向，保持双臂伸直。在底部稍作停顿，然后慢慢放松紧张，回到起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder height with your palms facing down. Keeping your core engaged and your elbows slightly bent, press the dumbbells up and overhead until your arms are fully extended. Rotate your wrists so that your palms are facing forward. Slowly lower the dumbbells back to the starting position, rotating your wrists back to the starting position as you do so. Repeat for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个哑铃，肩高，手掌朝下。保持核心收紧，肘部微弯曲，将哑铃向上并举过头顶，直到双臂完全伸展。旋转手腕，使手掌朝前。慢慢将哑铃放回起始位置，同时将手腕旋转回起始位置。重复至所需次数。,
"Lie down on a decline bench with your feet secured and your head lower than your hips. Hold a dumbbell in each hand and extend your arms straight up above your chest, palms facing forward. Lower the dumbbells slowly to the sides of your chest, keeping your elbows at a 90-degree angle. Push the dumbbells back up to the starting position, fully extending your arms. Repeat for the desired number of repetitions.",躺在下坡凳上，双脚稳固，头部低于臀部。双手各握一个哑铃，双臂直伸至胸前，掌心朝前。哑铃缓慢放到胸部两侧，保持肘部与90度角。将哑铃推回起始位置，双臂完全伸展。重复至所需次数。,
"Lie on a decline bench with your feet secured and your head lower than your hips. Hold a dumbbell in each hand with your palms facing each other and your arms extended above your chest. Lower the dumbbells out to the sides in a wide arc until you feel a stretch in your chest. Pause for a moment, then squeeze your chest muscles to bring the dumbbells back to the starting position. Repeat for the desired number of repetitions.",躺在下坡凳上，双脚稳固，头部低于臀部。双手各握一个哑铃，手掌相对，双臂伸展于胸前。将哑铃向两侧放下，形成一个宽弧线，直到你感觉胸部有拉伸感。稍作停顿，然后收紧胸肌，将哑铃拉回起始位置。重复至所需次数。,
"Lie on a decline bench with a dumbbell in one hand, resting on your chest. Extend your arm straight up, keeping your elbow slightly bent. Lower the dumbbell down towards your shoulder, keeping your elbow close to your body. Press the dumbbell back up to the starting position. Repeat for the desired number of repetitions, then switch arms.",躺在下坡凳上，一只手拿着哑铃，放在胸口。手臂直伸向上，肘部微微弯曲。将哑铃向下放向肩膀，肘部靠近身体。将哑铃按回起始位置。重复至所需次数，然后换臂。,
"Set up a decline bench at a 45-degree angle. Lie face down on the bench with your chest and stomach resting against it. Hold a dumbbell in each hand with your arms fully extended towards the floor. Keeping your arms straight, raise your shoulders towards your ears as high as possible. Hold the contraction for a moment, then slowly lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",将一个下坡凳以45度角架设。趴在凳上，胸口和腹部靠在凳上。双手各握一个哑铃，双臂完全伸向地面。保持双臂伸直，肩膀尽量抬高到耳朵方向。保持收缩片刻，然后慢慢将哑铃放回起始位置。重复至所需次数。,
"Set up a decline bench at a 45-degree angle. Lie face down on the bench with your chest and stomach resting on it. Hold a dumbbell in each hand with your palms facing each other and your arms fully extended. Keeping your arms straight, raise your shoulders as high as possible while squeezing your shoulder blades together. Hold the contraction for a brief pause, then lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",将一个下坡凳以45度角摆好。趴在凳上，胸部和腹部靠在上面。双手各握一个哑铃，手掌相对，双臂完全伸展。保持手臂伸直，尽量抬高肩膀，同时双肩胛骨紧紧收紧。保持收缩短暂停，然后将哑铃放回起始位置。重复至所需次数。,
